road,id,model_type,length,condition,LRPName,name,chainage,lat,lon
N1,0,source,0.0,0,LRP001,road N1,0.0,23.69873866,90.4588610799999
N1,1,link,1800.0,0,LRP001-road,road N1,0.0,23.69873866,90.4588610799999
N1,2,bridge,11.3,A,LRP001,.,1.8,23.69873866,90.4588610799999
N1,3,link,3113.7,0,LRP001-road,road N1,1.8113000000000001,23.69873866,90.4588610799999
N1,4,bridge,6.6,A,LRP004,.,4.925,23.6946638363636,90.4877749181818
N1,5,link,4044.400000000001,0,LRP004-road,road N1,4.9315999999999995,23.6946638363636,90.4877749181818
N1,6,bridge,397.0,C,LRP008,KANCHPUR PC GIRDER BRIDGE,8.976,23.7050598925675,90.5232141463513
N1,7,link,1169.9999999999984,0,LRP008-road,road N1,9.373000000000001,23.7050598925675,90.5232141463513
N1,8,bridge,6.866666666666667,B,LRP010,KATCHPUR BOX CULVERT,10.543,23.6964000869109,90.5350989801047
N1,9,link,746.1333333333334,0,LRP010-road,road N1,10.549866666666667,23.6964000869109,90.5350989801047
N1,10,bridge,9.45,B,LRP011,NAYABARI KASPUR BOX CULVERT,11.296,23.6923601518691,90.5409183897196
N1,11,link,933.5500000000013,0,LRP011-road,road N1,11.305449999999999,23.6923601518691,90.5409183897196
N1,12,bridge,7.7,A,LRP012,KHAS PARA BOX CULVERT,12.239,23.6884123260204,90.5485585290816
N1,13,link,413.2999999999994,0,LRP012-road,road N1,12.2467,23.6884123260204,90.5485585290816
N1,14,bridge,27.5,A,LRP013,Madanpur Bridge.(L),12.66,23.685583027027,90.551207981081
N1,15,link,886.4999999999997,0,LRP013-road,road N1,12.6875,23.685583027027,90.551207981081
N1,16,bridge,11.9,A,LRP014,KAWTALA BOX CULVERT,13.574,23.6778035,90.5558194349999
N1,17,link,1879.1,0,LRP014-road,road N1,13.5859,23.6778035,90.5558194349999
N1,18,bridge,5.55,B,LRP016,MALIBAG BOX CULVERT,15.465,23.6633090696149,90.563856994797
N1,19,link,1663.4500000000005,0,LRP016-road,road N1,15.47055,23.6633090696149,90.563856994797
N1,20,bridge,159.52,C,LRP017,Langalbandh Bridge.,17.134,23.6544257051136,90.576730225
N1,21,link,0.0,0,LRP017-road,road N1,17.29352,23.6544257051136,90.576730225
N1,22,bridge,21.816666666666666,B,LRP018,Darikandi Bridge (R),17.222,23.65397226,90.57741042
N1,23,link,1498.183333333333,0,LRP018-road,road N1,17.243816666666667,23.65397226,90.57741042
N1,24,bridge,40.415,B,LRP019,Mollik para Bridge(R),18.742,23.6459685949152,90.5892119813559
N1,25,link,977.5850000000007,0,LRP019-road,road N1,18.782415,23.6459685949152,90.5892119813559
N1,26,bridge,8.2,B,LRP020,KRIBORDI BOX CULVERT,19.76,23.6379543715384,90.5936673976923
N1,27,link,1415.7999999999995,0,LRP020-road,road N1,19.7682,23.6379543715384,90.5936673976923
N1,28,bridge,88.33500000000001,A,LRP021,Marikhali Bridge(L),21.184,23.6284668507692,90.6023015723077
N1,29,link,1055.6649999999984,0,LRP021-road,road N1,21.272335,23.6284668507692,90.6023015723077
N1,30,bridge,5.5,B,LRP022,SANGAKADI CULVERT,22.328,23.6198832229508,90.6083528852459
N1,31,link,262.5000000000007,0,LRP022-road,road N1,22.3335,23.6198832229508,90.6083528852459
N1,32,bridge,168.61,B,LRP023,ASHIR CHAR ( Left),22.596,23.6176407964705,90.6095506105882
N1,33,link,1628.3900000000008,0,LRP023-road,road N1,22.76461,23.6176407964705,90.6095506105882
N1,34,bridge,900.0,C,LRP024,MEGHNA BRIDGE,24.393,23.6027595885583,90.6155316965675
N1,35,link,821.9999999999977,0,LRP024-road,road N1,25.293,23.6027595885583,90.6155316965675
N1,36,bridge,5.55,A,LRP026,TATULTALA CULVERT,26.115,23.5929818827893,90.6279699370919
N1,37,link,999.4500000000025,0,LRP026-road,road N1,26.120549999999998,23.5929818827893,90.6279699370919
N1,38,bridge,5.6,A,LRP027,MALUAKANDI CULVEDRT,27.12,23.58631812254,90.6345094207093
N1,39,link,1189.4000000000003,0,LRP027-road,road N1,27.125600000000002,23.58631812254,90.6345094207093
N1,40,bridge,172.675,A,LRP028,Bhater char Bridge (L),28.315,23.5779800248475,90.6419193089939
N1,41,link,650.3250000000005,0,LRP028-road,road N1,28.487675000000003,23.5779800248475,90.6419193089939
N1,42,bridge,29.810000000000002,A,LRP029,Anarpara Bridge (L),29.138,23.5716306256965,90.6454159236842
N1,43,link,674.1899999999971,0,LRP029-road,road N1,29.167810000000003,23.5716306256965,90.6454159236842
N1,44,bridge,34.7,A,LRP030,VITIKANDA - ANAR PUR CULVERT,29.842,23.5660033956521,90.6486237247282
N1,45,link,1031.3000000000025,0,LRP030-road,road N1,29.8767,23.5660033956521,90.6486237247282
N1,46,bridge,26.3,B,LRP031,ALIPURA BRIDGE (LEFT),30.908,23.5591910296296,90.6557475703703
N1,47,link,537.7,0,LRP031-road,road N1,30.9343,23.5591910296296,90.6557475703703
N1,48,bridge,29.862499999999997,A,LRP032,Bhaber char Bridge(R),31.472,23.5557082901265,90.6597414245569
N1,49,link,1275.1374999999998,0,LRP032-road,road N1,31.5018625,23.5557082901265,90.6597414245569
N1,50,bridge,7.15,A,LRP033,PURRANBUICHE BOX CULVERT,32.777,23.5477377446428,90.6690554098214
N1,51,link,806.85,0,LRP033-road,road N1,32.784150000000004,23.5477377446428,90.6690554098214
N1,52,bridge,35.629999999999995,C,LRP034,Madhya Baushia Bridge(L),33.591,23.54268543125,90.6748292125
N1,53,link,1554.3699999999963,0,LRP034-road,road N1,33.62663,23.54268543125,90.6748292125
N1,54,bridge,9.5,A,LRP035,.,35.181,23.5327751898617,90.6858701078341
N1,55,link,217.50000000000387,0,LRP035-road,road N1,35.1905,23.5327751898617,90.6858701078341
N1,56,bridge,16.6875,B,LRP036,BORAKANDI BRIDGE(L),35.408,23.5313996605222,90.68744892596
N1,57,link,1585.3124999999968,0,LRP036-road,road N1,35.424687500000005,23.5313996605222,90.68744892596
N1,58,bridge,1408.8,C,LRP037,Daud Kandi Bridge,37.01,23.5303844733,90.7024402743
N1,59,link,885.2000000000041,0,LRP037-road,road N1,38.4188,23.5303844733,90.7024402743
N1,60,bridge,14.55,C,LRP040,Baldhakhal Bridge,39.304,23.5324186,90.7242807234
