Iter,veh_driving_time
1,346
1,372
1,355
1,374
1,426
1,292
1,333
1,427
1,461
1,460
1,434
1,476
1,419
1,461
1,491
1,471
1,467
1,430
1,472
1,318
1,377
1,386
1,515
1,541
1,402
1,449
1,493
1,471
1,507
1,427
1,566
1,419
1,349
1,501
1,667
1,517
1,492
1,572
1,369
1,440
1,551
1,387
1,663
1,472
1,522
1,601
1,432
1,560
1,541
1,431
1,380
1,620
1,505
1,678
1,499
1,389
1,615
1,353
1,536
1,376
1,432
1,588
1,483
1,392
1,406
1,467
1,507
1,484
1,540
1,502
1,592
1,460
1,581
1,861
1,431
1,372
1,369
1,537
1,454
1,645
1,435
1,414
1,669
1,694
1,581
1,446
1,516
1,449
1,424
1,426
1,674
1,361
1,542
1,447
1,493
1,419
1,490
1,405
1,602
1,419
1,816
1,632
1,428
1,607
1,410
1,632
1,440
1,406
1,542
1,505
1,670
1,652
1,310
1,427
1,588
1,605
1,392
1,415
1,513
1,394
1,457
1,643
1,572
1,563
1,620
1,506
1,479
1,542
1,494
1,408
1,605
1,472
1,383
1,354
1,496
1,848
1,580
1,529
1,400
1,441
1,459
1,554
1,439
1,528
1,410
1,676
1,343
1,476
1,518
1,802
1,628
1,654
1,571
1,451
1,376
1,585
1,486
1,677
1,524
1,516
1,509
1,584
1,579
1,446
1,474
1,483
1,499
1,492
1,643
1,467
1,479
1,539
1,535
1,658
1,531
1,605
1,658
1,447
1,464
1,450
1,579
1,450
1,496
1,439
1,430
1,781
1,506
1,410
1,506
1,349
1,360
1,319
1,582
1,589
1,472
1,455
1,380
1,480
1,498
1,697
1,619
1,577
1,382
1,608
1,601
1,563
1,574
1,568
1,524
1,533
1,518
1,337
1,599
1,387
1,344
1,444
1,400
1,511
1,540
1,469
1,555
1,463
1,581
1,576
1,529
1,645
1,502
1,423
1,477
1,507
1,468
1,412
1,542
1,390
1,441
1,502
1,688
1,414
1,402
1,601
1,758
1,453
1,666
1,432
1,710
1,576
1,658
1,437
1,376
1,726
1,401
1,672
1,560
1,615
1,422
1,708
1,463
1,458
1,394
1,560
1,471
1,499
1,427
1,508
1,479
1,631
1,371
1,606
1,420
1,561
1,406
1,607
1,560
1,453
1,653
1,455
1,351
1,510
1,388
1,610
1,546
1,502
1,774
1,500
1,694
1,624
1,495
1,410
1,587
1,484
1,446
1,756
1,672
1,477
1,401
1,433
1,445
1,367
1,568
1,585
1,801
1,366
1,484
1,387
1,579
1,392
1,400
1,384
1,353
1,558
1,530
1,458
1,335
1,325
1,497
1,596
1,413
1,480
1,421
1,430
1,408
1,475
1,433
1,369
1,384
1,354
1,430
1,663
1,617
1,458
1,486
1,601
1,591
1,714
1,574
1,535
1,613
1,701
1,354
1,580
1,406
1,457
1,400
1,665
1,545
1,538
1,470
1,392
1,469
1,330
1,730
1,396
1,577
1,575
1,499
1,450
1,374
1,445
1,597
1,491
1,420
1,542
1,409
1,441
1,375
1,422
1,603
1,531
1,602
1,619
1,391
1,340
1,612
1,764
1,636
1,528
1,851
1,448
1,439
1,590
1,579
1,610
1,488
1,415
1,453
1,634
1,400
1,432
1,329
1,482
1,472
1,573
1,583
1,394
1,422
1,435
1,444
1,405
1,512
1,460
1,437
1,644
1,433
1,761
1,454
1,595
1,410
1,502
1,476
1,452
1,332
1,383
1,425
1,671
1,592
1,479
1,429
1,581
1,498
1,400
1,624
1,639
1,361
1,559
1,797
1,794
1,374
1,744
1,527
1,443
1,348
1,362
1,538
1,454
1,391
1,534
1,755
1,498
1,756
1,531
1,427
1,475
1,330
1,471
1,681
1,406
1,573
1,534
1,524
1,466
1,423
1,703
1,387
1,376
1,558
1,624
1,464
1,380
1,620
1,374
1,428
1,522
1,424
1,485
1,471
1,645
1,487
1,495
1,507
1,387
1,675
1,587
1,376
1,356
1,777
1,595
1,458
1,377
1,653
1,560
1,544
1,461
1,440
1,456
1,384
1,473
1,450
1,468
1,443
1,723
1,685
1,966
1,448
1,761
1,433
1,596
1,544
1,601
1,438
1,422
1,409
1,600
1,461
1,408
1,637
1,479
1,752
1,387
1,550
1,358
1,598
1,685
1,347
1,369
1,425
1,390
1,757
1,709
1,395
1,1002
1,398
1,491
1,483
1,468
1,443
1,803
1,627
1,598
1,439
1,414
1,414
1,345
1,746
1,501
1,578
1,609
1,397
1,558
1,691
1,657
1,579
1,569
1,379
1,609
1,700
1,776
1,567
1,498
1,619
1,450
1,640
1,454
1,567
1,417
1,484
1,374
1,572
1,513
1,448
1,710
1,526
1,382
1,439
1,755
1,484
1,390
1,553
1,423
1,449
1,593
1,463
1,445
1,718
1,431
1,381
1,461
1,674
1,393
1,355
1,578
1,443
1,729
1,339
1,856
1,456
1,437
1,514
1,551
1,542
1,463
1,364
1,351
1,391
1,638
1,862
1,368
1,353
1,609
1,615
1,1029
1,409
1,703
1,480
1,513
1,587
1,679
1,557
1,354
1,456
1,447
1,442
1,398
1,627
1,436
1,401
1,387
1,567
1,369
1,460
1,774
1,457
1,605
1,625
1,441
1,553
1,561
1,456
1,482
1,350
1,386
1,622
1,464
1,437
1,352
1,449
1,637
1,793
1,650
1,498
1,401
1,354
1,512
1,675
1,377
1,573
1,428
1,489
1,412
1,450
1,553
1,429
1,583
1,704
1,799
1,546
1,441
1,430
1,554
1,531
1,382
1,318
1,384
1,740
1,425
1,489
1,414
1,584
1,357
1,534
1,472
1,752
1,486
1,441
1,392
1,543
1,365
1,486
1,477
1,800
1,475
1,331
1,622
1,430
1,453
1,386
1,531
1,669
1,390
1,691
1,446
1,467
