road,id,model_type,condition,name,lat,lon,length
N1,1000000,sourcesink,NaN,SoSi_N1,23.69873866,90.4588610799999,1.0
N1,1000001,link,NaN,link_LRP001,23.69873866,90.4588610799999,1800.0
N1,1000002,intersection,NaN,IS_N1N8,23.69132456865545,90.44108591310916,20.0
N1,1000003,bridge,A,LRP001,23.69873866,90.4588610799999,11.3
N1,1000004,link,NaN,link_LRP001,23.69873866,90.4588610799999,3113.7
N1,1000005,bridge,A,LRP004,23.6946638363636,90.4877749181818,6.6
N1,1000006,link,NaN,link_LRP004,23.6946638363636,90.4877749181818,4044.400000000001
N1,1000007,bridge,C,KANCHPUR PC GIRDER BRIDGE,23.7050598925675,90.5232141463513,397.0
N1,1000008,intersection,NaN,IS_N1N2,23.711562476013448,90.5194927292567,20.0
N1,1000009,link,NaN,link_LRP008,23.7050598925675,90.5232141463513,1169.9999999999984
N1,1000010,bridge,B,KATCHPUR BOX CULVERT,23.6964000869109,90.5350989801047,6.866666666666667
N1,1000011,link,NaN,link_LRP010,23.6964000869109,90.5350989801047,746.1333333333334
N1,1000012,bridge,A,NAYABARI KASPUR BOX CULVERT,23.6923601518691,90.5409183897196,9.45
N1,1000013,link,NaN,link_LRP011,23.6923601518691,90.5409183897196,933.5500000000013
N1,1000014,bridge,A,KHAS PARA BOX CULVERT,23.6884123260204,90.5485585290816,7.7
N1,1000015,intersection,NaN,IS_N1N105,23.689510313010153,90.5476380021408,20.0
N1,1000016,link,NaN,link_LRP012,23.6884123260204,90.5485585290816,413.2999999999994
N1,1000017,bridge,A,Madanpur Bridge.(L),23.685583027027,90.551207981081,27.5
N1,1000018,link,NaN,link_LRP013,23.685583027027,90.551207981081,886.4999999999997
N1,1000019,bridge,A,KAWTALA BOX CULVERT,23.6778035,90.5558194349999,11.9
N1,1000020,link,NaN,link_LRP014,23.6778035,90.5558194349999,1879.1
N1,1000021,bridge,B,MALIBAG BOX CULVERT,23.6633090696149,90.563856994797,5.55
N1,1000022,link,NaN,link_LRP016,23.6633090696149,90.563856994797,1663.4500000000005
N1,1000023,bridge,C,Langalbandh Bridge.,23.6544257051136,90.576730225,159.52
N1,1000024,bridge,A,Darikandi Bridge (R),23.65397226,90.57741042,21.816666666666666
N1,1000025,link,NaN,link_LRP018,23.65397226,90.57741042,1498.183333333333
N1,1000026,link,NaN,link_LRP017,23.6544257051136,90.576730225,1.0
N1,1000027,bridge,B,Mollik para Bridge(R),23.6459685949152,90.5892119813559,40.415
N1,1000028,link,NaN,link_LRP019,23.6459685949152,90.5892119813559,977.5850000000007
N1,1000029,bridge,A,KRIBORDI BOX CULVERT,23.6379543715384,90.5936673976923,8.2
N1,1000030,link,NaN,link_LRP020,23.6379543715384,90.5936673976923,1415.7999999999995
N1,1000031,bridge,A,Marikhali Bridge(L),23.6284668507692,90.6023015723077,88.33500000000001
N1,1000032,link,NaN,link_LRP021,23.6284668507692,90.6023015723077,1055.6649999999984
N1,1000033,bridge,B,SANGAKADI CULVERT,23.6198832229508,90.6083528852459,5.5
N1,1000034,link,NaN,link_LRP022,23.6198832229508,90.6083528852459,262.5000000000007
N1,1000035,bridge,B,ASHIR CHAR ( Left),23.6176407964705,90.6095506105882,168.61
N1,1000036,link,NaN,link_LRP023,23.6176407964705,90.6095506105882,1628.3900000000008
N1,1000037,bridge,C,MEGHNA BRIDGE,23.6027595885583,90.6155316965675,900.0
N1,1000038,link,NaN,link_LRP024,23.6027595885583,90.6155316965675,821.9999999999977
N1,1000039,bridge,A,TATULTALA CULVERT,23.5929818827893,90.6279699370919,5.55
N1,1000040,link,NaN,link_LRP026,23.5929818827893,90.6279699370919,999.4500000000025
N1,1000041,bridge,A,MALUAKANDI CULVEDRT,23.58631812254,90.6345094207093,5.6
N1,1000042,link,NaN,link_LRP027,23.58631812254,90.6345094207093,1189.4000000000003
N1,1000043,bridge,A,Bhater char Bridge (L),23.5779800248475,90.6419193089939,172.675
N1,1000044,link,NaN,link_LRP028,23.5779800248475,90.6419193089939,650.3250000000005
N1,1000045,bridge,A,Anarpara Bridge (L),23.5716306256965,90.6454159236842,29.810000000000002
N1,1000046,link,NaN,link_LRP029,23.5716306256965,90.6454159236842,674.1899999999971
N1,1000047,bridge,A,VITIKANDA - ANAR PUR CULVERT,23.5660033956521,90.6486237247282,34.7
N1,1000048,link,NaN,link_LRP030,23.5660033956521,90.6486237247282,1031.3000000000025
N1,1000049,bridge,B,ALIPURA BRIDGE (LEFT),23.5591910296296,90.6557475703703,26.3
N1,1000050,link,NaN,link_LRP031,23.5591910296296,90.6557475703703,537.7
N1,1000051,bridge,A,Bhaber char Bridge(R),23.5557082901265,90.6597414245569,29.862499999999997
N1,1000052,link,NaN,link_LRP032,23.5557082901265,90.6597414245569,1275.1374999999998
N1,1000053,bridge,A,PURRANBUICHE BOX CULVERT,23.5477377446428,90.6690554098214,7.15
N1,1000054,link,NaN,link_LRP033,23.5477377446428,90.6690554098214,806.85
N1,1000055,bridge,A,Madhya Baushia Bridge(L),23.54268543125,90.6748292125,35.629999999999995
N1,1000056,link,NaN,link_LRP034,23.54268543125,90.6748292125,1554.3699999999963
N1,1000057,bridge,A,LRP035,23.5327751898617,90.6858701078341,9.5
N1,1000058,link,NaN,link_LRP035,23.5327751898617,90.6858701078341,217.50000000000387
