name,length,condition,betweenness,total_delay_time,vehicle_count
LRP001,11.3,A,0.0019120450140611737,0.0,1365
LRP004,6.6,A,0.0,0.0,1367
KANCHPUR PC GIRDER BRIDGE,397.0,C,0.0009564801530368245,21437.810854579773,1373
KATCHPUR BOX CULVERT,6.866666666666667,B,0.19825362284019687,60773.33237787457,61447
NAYABARI KASPUR BOX CULVERT,9.45,A,0.19805408918147724,0.0,61422
KHAS PARA BOX CULVERT,7.7,A,0.1978545555227576,0.0,61420
Madanpur Bridge.(L),27.5,A,0.1998956567105778,0.0,52392
KAWTALA BOX CULVERT,11.9,A,0.19966683370745894,0.0,52392
MALIBAG BOX CULVERT,5.55,B,0.19944075658037752,51505.284201095,52388
Langalbandh Bridge.,159.52,C,0.19921559474530856,401248.81964831165,52483
Darikandi Bridge (R),21.816666666666663,A,0.1991020985357616,0.0,52387
Mollik para Bridge(R),40.415,B,0.19876069461510829,127884.72984778634,52415
KRIBORDI BOX CULVERT,8.2,A,0.1985318716119894,0.0,52380
Marikhali Bridge(L),88.33500000000001,A,0.19830304860887055,0.0,52380
SANGAKADI CULVERT,5.5,B,0.1980742256057517,47297.73911167014,52384
ASHIR CHAR ( Left),168.61,B,0.19784265672659543,249018.4660421068,52441
MEGHNA BRIDGE,900.0,C,0.19761108784743914,709443.5125212863,52522
TATULTALA CULVERT,5.55,A,0.19738226484432028,0.0,52381
MALUAKANDI CULVEDRT,5.6,A,0.19715344184120143,0.0,52382
Bhater char Bridge (L),172.675,A,0.19692461883808257,0.0,52387
Anarpara Bridge (L),29.81,A,0.1966957958349637,0.0,52380
VITIKANDA - ANAR PUR CULVERT,34.7,A,0.19646697283184483,0.0,52384
ALIPURA BRIDGE (LEFT),26.3,B,0.19623540395268857,107931.64357790699,52399
Bhaber char Bridge(R),29.8625,A,0.19600017390548238,0.0,52375
PURRANBUICHE BOX CULVERT,7.15,A,0.19576677444230114,0.0,52377
Madhya Baushia Bridge(L),35.629999999999995,A,0.19553154439509496,0.0,52378
LRP035,9.5,A,0.19529265317983888,0.0,52380
BORAKANDI BRIDGE(L),16.6875,B,0.1950528466725703,118423.16953196409,52408
Daud Kandi Bridge,1408.8,C,0.1948102942892643,708897.504922094,52571
Baldhakhal Bridge,14.55,C,0.19456682661394584,193655.97968881487,52423
SHAHID NAGIR,16.5,C,0.19432885069070224,186992.66563233762,52443
SARKAR BARI CULVERT,3.9,C,0.19494255398506702,86138.13706041133,52409
AMIRABATH SLAB CULVERT,6.5,C,0.19583954015729294,81352.2932706641,52410
Ginlatoly,15.9,C,0.19673652632951885,180781.65099890315,52436
RAIPUR BOX CULVERT,12.2,A,0.1976362583777822,0.0,52384
AITAL BANGA BOX CULVERT,4.5,C,0.19853965159409545,76575.68447722105,52413
Illiot bazar Bridge,28.9,C,0.19944945185449603,173589.98748858715,52428
KHAT GHOR BOX CULVERT,5.9,B,0.20036108269892156,54385.73738595239,52412
BAKRA BOX CULVERT,3.0,B,0.20127820529542195,54914.19366377371,52416
MATIA BAZER,4.5,B,0.2021999043519847,56857.18444720263,52409
KARON KHAL SLAB CULVERT,4.6,B,0.20312526457659735,50184.4856504878,52410
MILL GHAT BOX CULVERT,4.5,A,0.20405428596925992,0.0,52399
CHANDINA- SHAHA PARA RCC GIDER GRIDGE,23.1,C,0.2049897144060098,267411.24005529314,52477
CORI PAI BOX CULVERT,4.6,B,0.2059324651788595,57245.06270099312,52424
COREPAI BOX CULVERT,4.6,B,0.20687704653573416,56675.96680830013,52425
NIMSHAR SLAB CULVERT,1.5,A,0.2078216278926088,0.0,52416
KABILA DUBARCHAR SLAB CULVERT,1.0,C,0.20876895512552085,74976.94263948126,52438
NAZIRA BOX CULVERT,3.0,B,0.20971994352648282,52315.92933311699,52413
TIPRA BAZAR BOX CULVERT,2.15,A,0.46081657776893,0.0,107858
Dhanpur Bridge,22.85,C,0.46027747077358194,454665.2714878038,107940
Paduar Bazar Bridge,35.97,C,0.459734702610184,419857.0697046674,107965
Mostapur Bridge,27.35,C,0.4591882732787362,470997.15865247557,107951
Matigara Bridge,27.35,C,0.45863818277923846,456585.3298453463,107953
Suagazi Bridge.,30.48,A,0.4580844311116908,0.0,107858
LAL BAG RCC GIDER BRIDGE,22.8,C,0.45752701827609327,417895.4653736873,107957
CHANSIRI BOXCUIVERT,14.3,A,0.45696594427244586,0.0,107849
MIABAZAR BOX CULVERT,24.0,A,0.4564012091007485,0.0,107849
NOYA BAZER BOX CULVERT,9.2,A,0.45583281276100124,0.0,107854
DOLL BARI CULVERT,10.9,B,0.4552607552532041,271875.512199397,107893
LALGORE BEZER CULVERT,3.2,A,0.45468503657735704,0.0,107846
SUPUYA BOX CULVERT,13.4,A,0.4541056567334601,0.0,107846
BOWCHI BAZAR CULVERT,4.6,B,0.45352261572151326,105068.5095979504,107861
AMAN GONG SLAB CULVERT,6.3,B,0.4529359135415165,103640.81806904705,107877
RANGAMATIA (1) BOX CULVERT,3.2,B,0.45234555019346984,117139.88613915161,107862
HARISHARDE CULVERT,4.5,B,0.4517515256773733,119933.79094522842,107866
SONAGATI BOX CULVERT,8.1,B,0.45115383999322684,119893.20949782926,107858
KALIR BAZAR BOX CULVERT,2.8,A,0.45055249314103046,0.0,107838
CHAUDDAGARAM BOX CULVERT,4.3,B,0.44994748512078425,107812.44533049391,107866
HAYDAR POLE BOX CULVERT,14.3,B,0.4493388159324881,311083.83848875406,107884
FALGUNCORA CULVERT,6.1,A,0.44872648557614203,0.0,107819
ATTOCK GRAM BOX CULVERT,6.1,A,0.448110494051746,0.0,107817
BOSONTA PUR BOX CULVERT,6.1,C,0.4474908413593002,169197.36007926628,107851
BASHONTA PUR (2),9.5,B,0.44686752749880443,112430.76308601558,107839
NANKORA BOX CULVERT,3.1,B,0.44624055247025873,113841.4941120954,107830
ANDAJER BAZER BOX CULVERT,9.5,A,0.44560991627366314,0.0,107813
DIMATOLI (1) BOX CULVERT,6.3,B,0.4449756189090177,114506.24504524819,107837
DIMATOLY (2) BOX CULVERT,3.5,B,0.44433766037632233,94075.95807471864,107822
