name,length,condition,betweenness,vehicle_count_s0,Scenario,delay_time
Sherpur Bridge,282.35,D,0.2193030508971006,75518,S1,805687.0
Shadipur Bridge,159.85,D,0.2178669577295266,75521,S1,381088.0
Mathamuhuri Bridge,294.15,D,0.1913912209766623,27668,S1,254381.0
Modonhat Bridge,24.32,D,0.3650541509636881,74810,S1,200164.0
Kumar Bridge,109.6,D,0.1853466325262746,27955,S1,139787.0
LRP095,36.76,D,0.1478489493591812,27957,S1,79373.0
MORICHIA,20.6,D,0.1048467000290605,27684,S1,78849.0
LRP110,15.925,D,0.1250014301437695,27967,S1,78071.0
RANIRHAT BRIDGE,33.666666666666664,D,0.0282962525656779,27958,S1,77737.0
LRP078,12.1,D,0.1730817195591038,27957,S1,74091.0
Sherpur Bridge,282.35,D,0.2193030508971006,75518,S2,1251239.0
Shaistaganj Bridge,217.25,C,0.3398717218244516,122897,S2,1141409.0
Titas Bridge,114.375,C,0.4077717444779289,134688,S2,658583.0
Madhab pur Bridge,68.09,C,0.3967653580279118,134689,S2,611499.0
Shadipur Bridge,159.85,D,0.2178669577295266,75521,S2,603400.0
MEGHNA BRIDGE,900.0,C,0.1976110878474391,53113,S2,466962.0
Daud Kandi Bridge,1408.8,C,0.1948102942892643,53112,S2,460845.0
Mathamuhuri Bridge,294.15,D,0.1913912209766623,27668,S2,401486.0
Mirnagar Bridge,36.7,C,0.3941375546600948,134678,S2,385776.0
Kuttu para Bridge,22.96,C,0.4134419784952142,134680,S2,362604.0
Sherpur Bridge,282.35,D,0.2193030508971006,75518,S3,2184891.0
Shaistaganj Bridge,217.25,C,0.3398717218244516,122897,S3,1800738.0
Shadipur Bridge,159.85,D,0.2178669577295266,75521,S3,1040501.0
Titas Bridge,114.375,C,0.4077717444779289,134688,S3,1022857.0
Madhab pur Bridge,68.09,C,0.3967653580279118,134689,S3,952719.0
MEGHNA BRIDGE,900.0,C,0.1976110878474391,53113,S3,709444.0
Daud Kandi Bridge,1408.8,C,0.1948102942892643,53112,S3,708898.0
Mathamuhuri Bridge,294.15,D,0.1913912209766623,27668,S3,674324.0
Mirnagar Bridge,36.7,C,0.3941375546600948,134678,S3,599748.0
Kuttu para Bridge,22.96,C,0.4134419784952142,134680,S3,564044.0
Sherpur Bridge,282.35,D,0.2193030508971006,75518,S4,4934776.0
Shaistaganj Bridge,217.25,C,0.3398717218244516,122897,S4,2949994.0
Shadipur Bridge,159.85,D,0.2178669577295266,75521,S4,2356663.0
Titas Bridge,114.375,C,0.4077717444779289,134688,S4,1712493.0
Madhab pur Bridge,68.09,C,0.3967653580279118,134689,S4,1598508.0
Mathamuhuri Bridge,294.15,D,0.1913912209766623,27668,S4,1521129.0
Daud Kandi Bridge,1408.8,C,0.1948102942892643,53112,S4,1201811.0
Modonhat Bridge,24.32,D,0.3650541509636881,74810,S4,1200555.0
MEGHNA BRIDGE,900.0,C,0.1976110878474391,53113,S4,1200222.0
Mirnagar Bridge,36.7,C,0.3941375546600948,134678,S4,1002196.0
