link_no,name,LRP_Start,Offset_Start,Chainage_Start,LRP_End,Offset_End,Chainage_End,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),road_name,lon_start,lat_start,lon_end,lat_end,lon_mid,lat_mid,mid_geometry,geometry
N501-1,Diabari More-Birulia (Int.with N511),LRPS,0,0,LRP006,660,6.611,6.611,72.0,387.0,1943.0,170.0,1627.0,1787.0,399.0,2007.0,1443.0,988.0,165.0,355.0,3.0,10823.0,523.0,11346.0,11346.0,N501,90.3434163,23.7985552,90.3410274,23.8453886,90.34222185,23.8219719,POINT (90.34222185 23.8219719),"LINESTRING (90.3434163 23.7985552, 90.3410274 23.8453886)"
N501-2,Birulia (Int.with N511)-Dhour (Int.with N302),LRP006,660,6.611,LRPE,0,11.942,5.331,72.0,387.0,1943.0,170.0,1627.0,1787.0,399.0,2007.0,1443.0,988.0,165.0,355.0,3.0,10823.0,523.0,11346.0,11346.0,N501,90.3410274,23.8453886,90.3618056,23.8922497,90.3514165,23.86881915,POINT (90.3514165 23.86881915),"LINESTRING (90.3410274 23.8453886, 90.3618056 23.8922497)"
N604-1,Pabna (Central Bus Stand)-Pabna (Anonta More) int.with R601,LRPS,0,0,LRPS,1990,1.99,1.990,21.0,395.0,341.0,198.0,96.0,145.0,84.0,139.0,4187.0,2698.0,2110.0,2172.0,2.0,8304.0,4284.0,12588.0,12588.0,N604,89.2587222,24.0073889,89.2587222,24.0073889,89.2587222,24.0073889,POINT (89.2587222 24.0073889),"LINESTRING (89.2587222 24.0073889, 89.2587222 24.0073889)"
N604-2,Pabna (Anonta More)int.with R601 -Police Line More(Int.with R603 ),LRPS,1990,1.99,LRPS,3386,3.386,1.396,21.0,395.0,341.0,198.0,96.0,145.0,84.0,139.0,4187.0,2698.0,2110.0,2172.0,2.0,8304.0,4284.0,12588.0,12588.0,N604,89.2587222,24.0073889,89.2587222,24.0073889,89.2587222,24.0073889,POINT (89.2587222 24.0073889),"LINESTRING (89.2587222 24.0073889, 89.2587222 24.0073889)"
N604-3,Police Line More(Int.with R603 )-Pabna (Ghospara),LRPS,3386,3.386,LRPE,0,7.83,4.444,21.0,395.0,341.0,198.0,96.0,145.0,84.0,139.0,4187.0,2698.0,2110.0,2172.0,2.0,8304.0,4284.0,12588.0,12588.0,N604,89.2587222,24.0073889,89.2258882,24.0322493,89.2423052,24.0198191,POINT (89.2423052 24.0198191),"LINESTRING (89.2587222 24.0073889, 89.2258882 24.0322493)"
N204-1,Jagadishpur-Chunarughat (Int.with Z2008),LRPS,0,0,LRP022,5439,25.449,25.449,0.0,176.0,190.0,31.0,38.0,204.0,43.0,92.0,1119.0,378.0,127.0,230.0,0.0,2271.0,357.0,2628.0,2628.0,N204,91.3466108,24.1479163,91.4932219,24.1629722,91.41991635,24.15544425,POINT (91.41991635 24.15544425),"LINESTRING (91.3466108 24.1479163, 91.4932219 24.1629722)"
N204-2,Chunarughat (Int.with Z2008)-Shaisthaganj,LRP022,5439,25.449,LRPE,0,34.421,8.972,0.0,176.0,190.0,31.0,38.0,204.0,43.0,92.0,1119.0,378.0,127.0,230.0,0.0,2271.0,357.0,2628.0,2628.0,N204,91.4932219,24.1629722,91.4771382,24.2673882,91.48518005,24.2151802,POINT (91.48518005 24.2151802),"LINESTRING (91.4932219 24.1629722, 91.4771382 24.2673882)"
N508-1,Beldanga (10 mile)-Dinajpur Govt. College (Int.with R586),LRPS,0,0,LRP013,90,12.145,12.145,52.0,580.0,121.0,56.0,294.0,101.0,37.0,120.0,426.0,359.0,667.0,371.0,3.0,2146.0,1041.0,3187.0,3187.0,N508,88.6736938,25.7565556,88.6465552,25.6519167,88.6601245,25.70423615,POINT (88.6601245 25.70423615),"LINESTRING (88.6736938 25.7565556, 88.6465552 25.6519167)"
N508-2,Dinajpur Govt. College (Int.with R586),LRP013,90,12.145,LRPE,0,15.975,3.830,52.0,580.0,121.0,56.0,294.0,101.0,37.0,120.0,426.0,359.0,667.0,371.0,3.0,2146.0,1041.0,3187.0,3187.0,N508,88.6465552,25.6519167,88.6347497,25.6215827,88.64065245,25.636749700000003,POINT (88.64065245 25.636749700000003),"LINESTRING (88.6465552 25.6519167, 88.6347497 25.6215827)"
N703-1,Bus Terminal-Int more N704,LRPS,0,0,LRP001,986,1.986,1.986,10.0,327.0,245.0,180.0,205.0,174.0,35.0,165.0,1625.0,1193.0,1064.0,837.0,0.0,4159.0,1901.0,6060.0,6060.0,N703,89.1906108,23.5425274,89.1820827,23.5429441,89.18634675,23.54273575,POINT (89.18634675 23.54273575),"LINESTRING (89.1906108 23.5425274, 89.1820827 23.5429441)"
